"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"geometric","p_media",10000,2,"B",1,1,"J_u[1,1]",4994.24337988687,4997.58496814175,0.000669087988050207,"rel"
"geometric","p_media",10000,2,"C_richardson",1,1,"J_u[1,1]",4994.24337988687,4994.38549804688,2.84563945315073e-05,"rel"
"geometric","p_media",10000,3,"A",1,1,"J_u[1,1]",4997.49874937469,4997.34704589844,3.03558807833556e-05,"rel"
"geometric","p_media",10000,3,"B",1,1,"J_u[1,1]",4997.49874937469,4921.19129251578,0.0152691297558512,"rel"
"geometric","p_media",10000,3,"C_richardson",1,1,"J_u[1,1]",4997.49874937469,4997.20007324219,5.97651240109582e-05,"rel"
"geometric","p_pequena",100,1,"A",1,1,"J_u[1,1]",98.9279588336192,98.9279621498383,3.35215555216661e-08,"rel"
"geometric","p_pequena",100,1,"B",1,1,"J_u[1,1]",98.9279588336192,98.9280244115967,6.62886187764216e-07,"rel"
"geometric","p_pequena",100,1,"C_richardson",1,1,"J_u[1,1]",98.9279588336192,98.9279566844949,2.17241347998718e-08,"rel"
"geometric","p_pequena",100,2,"A",1,1,"J_u[1,1]",99.0333494441759,99.0333522184358,2.80133904257933e-08,"rel"
"geometric","p_pequena",100,2,"B",1,1,"J_u[1,1]",99.0333494441759,99.0330943865093,2.57547248559055e-06,"rel"
"geometric","p_pequena",100,2,"C_richardson",1,1,"J_u[1,1]",99.0333494441759,99.0333503197894,8.84160162672321e-09,"rel"
"geometric","p_pequena",100,3,"A",1,1,"J_u[1,1]",98.9553953828476,98.9553983139755,2.96206979873725e-08,"rel"
"geometric","p_pequena",100,3,"B",1,1,"J_u[1,1]",98.9553953828476,98.9558170502656,4.26118673331938e-06,"rel"
"geometric","p_pequena",100,3,"C_richardson",1,1,"J_u[1,1]",98.9553953828476,98.9554032254203,7.92536141943628e-08,"rel"
"geometric","p_pequena",1000,1,"A",1,1,"J_u[1,1]",990.1599984256,990.159977390407,2.12442359321104e-08,"rel"
"geometric","p_pequena",1000,1,"B",1,1,"J_u[1,1]",990.1599984256,990.124928351411,3.54185932011599e-05,"rel"
"geometric","p_pequena",1000,1,"C_richardson",1,1,"J_u[1,1]",990.1599984256,990.159541119706,4.61850503427572e-07,"rel"
"geometric","p_pequena",1000,2,"A",1,1,"J_u[1,1]",989.615999667712,989.616012093715,1.25563886252574e-08,"rel"
"geometric","p_pequena",1000,2,"B",1,1,"J_u[1,1]",989.615999667712,989.590632358652,2.56334871991549e-05,"rel"
"geometric","p_pequena",1000,2,"C_richardson",1,1,"J_u[1,1]",989.615999667712,989.615878855141,1.22080252178173e-07,"rel"
"geometric","p_pequena",1000,3,"A",1,1,"J_u[1,1]",988.832680045116,988.832695801695,1.593452498479e-08,"rel"
"geometric","p_pequena",1000,3,"B",1,1,"J_u[1,1]",988.832680045116,988.823971415333,8.80698014846814e-06,"rel"
"geometric","p_pequena",1000,3,"C_richardson",1,1,"J_u[1,1]",988.832680045116,988.832687704997,7.74638717776191e-09,"rel"
